filename	bytes	sha256	duration_s	vcodec	width	height	fps	acodec
01 - Greeting the Bishop - 20260620_093957.mp4	175680637	999189571e55772b05674c1d52c56652f42a3b239d5127cf432f1e8144d90751	86.995979	h264	1920	1080	30/1	aac
02 - Bishop moves to the cathedra while being censed - 20260620_094250.mp4	172788280	a15a2bbd84783027bfac359961c7b83e7cd6b7406229283bc65544e697271e11	80.521167	h264	1920	1080	30/1	aac
03 - Entrance Prayers - 20260620_094418.mp4	337525080	06b2b7aa7b9e327cc6177074f9ef675feb25785214fb55db6a88c94a2eaa1d3a	163.990089	h264	1920	1080	30/1	aac
04 - Conclusion of Entrance Prayers, Ton Des Postin, Blessing of Clergy - 20260620_094729.mp4	274021340	4ad7527dbcfeda179f4806f1d015bd396d6c7ee908d5c1faab6a867cce481ce7	130.025911	h264	1920	1080	30/1	aac
05 - Vesting of the Bishop - 20260620_094946.mp4	143093859	c82969c299e02349929e86284fea29738744d15b4571c1f6917b5b9e736e24b5	88.424978	h264	1920	1080	30/1	aac
06 - Blessing with Dikiri and Trikiri - 20260620_095541.mp4	166141418	3d56dbe01edd3694c371f976fd2cf5d8401a7885410378e3b54cc58b537b67f6	130.021967	h264	1920	1080	119/4	aac
07 - It is time for the lord to act and first litany - 20260620_095754.mp4	124377681	15c6af8a30554a8712e0cef1da543334a93bd959d1990dad803a214c6df80994	91.352211	h264	1920	1080	119/4	aac
08 - First Antiphon and Washing of Bishops Hands - 20260620_100107.mp4	116163614	55f6a581cccf58380cdedde895592e7534ab815bd21902c465dd15dbde2b668e	77.620978	h264	1920	1080	119/4	aac
09 - Conclusion of washing of hands and Second Litany 20260620_100237.mp4	46932738	8085df815ffa97bd4839d1774c64ada794d4d5b02359b4c124e70360b298d466	30.689878	h264	1920	1080	119/4	aac
10 - Second Antiphon - 20260620_100353.mp4	29667938	6ddef498b08d2ff004b43566b4eb1b365417893e6f633710eda4ca3f21cd0a51	21.562067	h264	1920	1080	119/4	aac
11 - Little Entrance Part 1 - 20260620_100759.mp4	141115923	466290b78c398d2a8dc2f9bb69deac1069c79fc08a0e6577861e548040f12343	65.362067	h264	1920	1080	30/1	aac
12 - Little Entrance Part 2 - 20260620_101011.mp4	214924693	4151ea14078ff2cabd72b443ccc719424cfbef10bb40e15005ebec897a801235	100.058522	h264	1920	1080	30/1	aac
